软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
迷信的人指附在人体上主宰人，又可离开肉体而独立存在的实体 | 魂
指精神或情绪 | 魂
〔～蒿〕多年生草本植物，生水边，叶像针，开黄绿小花，叶嫩时可食。 | 莪
〔～术〕多年生草本植物。中医以根状茎入药，称“郁金”。全草亦称“蓬莪术”、“山姜黄”。 | 莪
神话中称有特殊能力、可以长生不死的人 | 仙
具有高超才能的人 | 仙
婉称死 | 仙
〔舴～〕见“舴”。 | 艋
死了丈夫的女人 | 孀
一种金属元素。可用来生产特种钢，是电子工业的重要材料。 | 钼
生物体内能分泌某些液汁的组织，由腺细胞组成，根据腺的生理机能及其是否具排出管，可分为“外分泌腺”和“内分泌腺” | 腺
破旧，坏 | 敝
谦辞，用于与自己有关的事物 | 敝
古代传说中一种没有角的龙。古建筑或器物、工艺品上常用它的形状作装饰 | 螭
古同“魑”，魑魅。 | 螭
斜，歪 | 倾
趋向 | 倾
倒塌 | 倾
使器物反转或歪斜以倒出里面的东西；引申为尽数拿出，毫无保留 | 倾
用尽（力量） | 倾
坚硬的外皮 | 壳
义同（一） | 壳
暂时使用别人的财物等 | 借
暂时把财物等给别人使用 | 借
假托 | 借
依靠 | 借
杂色牛，引申为杂色 | 荦
特出，明显 | 荦
中国古代称东部的民族 | 夷
中国旧时指外国或外国的 | 夷
平，平坦，平安 | 夷
弄平 | 夷
消灭 | 夷
等辈 | 夷
古代的锄类工具。 | 夷
古同“怡”，喜悦。 | 夷
古同“痍”，创伤。 | 夷
姓。 | 夷
仔细看，调查研究 | 察
踏 | 蹋
踢 | 蹋
肥沃的土壤。 | 堉
通，透 | 彻
治，开发 | 彻
毁坏 | 彻
昆虫的一科，种类很多，身体灰黑色，长椭圆形，头阔，触角短，黑绿色复眼，翅透明。生活在野草丛里，雄的吸植物的汁液，雌的吸人、畜的血。 | 虻
〔～靼（）〕古代对中国北方游牧民族的称呼 | 鞑
〔～子〕旧时称蒙古族人。 | 鞑
古代王后的祭服。 | 袆
古代朝服的蔽膝。 | 袆
舀汤用的小勺子（亦称“调（）羹”） | 匙
〔钥～〕开锁的东西。 | 匙
擂台。参见“打擂”。 | 擂
研磨。 | 擂
敲击；打。 | 擂
用同“礧”。滚；从高处向下推下木石。 | 擂
气闭，昏倒 | 厥
其他的，那个的 | 厥
乃，于是 | 厥
古同“撅”，掘。 | 厥
古同“撅”，断木。 | 厥
蛤蜊、珠母、刀蚌、文蛤等有介壳软体动物的总称。 | 贝
指贝类动物的硬壳 | 贝
古代用贝壳做的货币。 | 贝
姓。 | 贝
黑色 | 黔
中国贵州省的别称 | 黔
路，方向，途径 | 道
指法则、规律 | 道
学术或宗教的思想体系 | 道
方法，办法，技术 | 道
指“道家”（中国春秋战国时期的一个学派，主要代表人物是老聃和庄周） | 道
指“道教”（中国主要宗教之一，创立于东汉） | 道
指某些反动迷信组织 | 道
说，讲 | 道
用语言表示情意 | 道
线条 | 道
中国历史上行政区域的名称。唐代相当于现在的省，清代和民国初年在省以下设“道”。 | 道
某些国家行政区域的名称。 | 道
量词 | 道
计量单位，“忽米”的通称。 | 道
〔苍～〕昆虫，种类很多，通常指家蝇，产卵在肮脏腐臭的东西上，幼虫称“蛆”。成虫能传染霍乱、伤寒等疾病。 | 蝇
小岛 | 屿
堂屋的侧边 | 廉
不贪污 | 廉
便（）宜，价钱低 | 廉
察考，访查 | 廉
姓。 | 廉
蛤蚌因沙粒窜入壳内受到刺激而分泌的物质，逐层包起来形成圆粒，乳白色或略带黄色，有光泽，可做装饰品，亦可入药。称“珍珠”（亦作“真珠”，简称“珠”） | 珠
像珠子的东西 | 珠
中医指流行性急性传染病 | 瘟
指戏曲沉闷乏味 | 瘟
吝惜，不肯给予 | 靳
戏辱，奚落。 | 靳
古代套在辕马胸前的皮革，因用作夹辕两马的代称。 | 靳
姓。 | 靳
用高粱、米、麦或葡萄等发酵制成的含乙醇的饮料 | 酒
戒惧，小心谨慎 | 惕
疾速 | 惕
抵御 | 抗
拒绝 | 抗
对等 | 抗
一种围在腰以下的服装 | 裙
像裙子的东西 | 裙
和，和谐 | 諴
诚，诚心 | 諴
调戏。 | 諴
深水，潭 | 渊
深 | 渊
姓。 | 渊
借入或借出 | 贷
推卸给旁人 | 贷
宽恕，饶恕 | 贷
高明的方法 | 诀
用事物的主要内容编成的顺口的便于记忆的词句 | 诀
辞别，多指不再相见的分别 | 诀
江海或湖泊里四面被水围着的陆地 | 岛
停留 | 逗
引，惹弄 | 逗
同“读”。 | 逗
〔～洒〕（行动举止）自然大方，不呆板，不拘束。 | 潇
〔～～〕形容风雨暴疾的样子，如“风雨～～”；形容小雨，如“～～细雨”。 | 潇
水深而清。 | 潇
愚拙，蠢笨 | 鲁
中国周代诸侯国名，在今山东省西南部。 | 鲁
中国山东省的别称。 | 鲁
姓。 | 鲁
人无头发，山无树木，树木无枝叶 | 秃
鸟羽毛脱落，物体失去尖端 | 秃
表示不圆满、不周全 | 秃
箭 | 矢
誓 | 矢
正直 | 矢
陈列 | 矢
施布 | 矢
古代投壶（一种娱乐活动）用的筹。 | 矢
古同“屎”，粪便。 | 矢
深 | 夤
〔～缘〕攀缘上升，喻拉拢关系，向上巴结。 | 夤
敬畏。 | 夤
古代盛酒的器具 | 樽
慰问 | 抚
扶持，保护 | 抚
轻轻地按着 | 抚
同“拊”。 | 抚
白玉上面的斑点，亦喻人的缺点、过失 | 玷
使有污点 | 玷
同“耀”。 | 燿
古同“搜”。 | 捜
古同“琉”。 | 瑠
大孔的璧。 | 瑗
弦乐器，木制长形。古代十三或十六根弦，现为二十五根弦。 | 筝
数名，六加一（在钞票和单据上常用大写“柒”代）。 | 七
文体名，或称“七体”，为赋体的另一种形式。 | 七
旧时人死后每隔七天一祭，共七次，称“做七”。 | 七
用两股以上的棉麻纤维或棕草等拧成的条状物 | 绳
木工用的墨线，引申为标准、法则，又引申为按一定的标准去衡量、纠正 | 绳
继续 | 绳
赞誉 | 绳
姓。 | 绳
〔～水〕地名，在中国陕西省。 | 柞
“栎”的通称 | 柞
跛，行走困难 | 蹇
迟钝，不顺利 | 蹇
傲慢。 | 蹇
穷困。 | 蹇
驽马，亦指驴。 | 蹇
文言语助词 | 蹇
姓。 | 蹇
船的尾部。 | 艉
浪费，用财物过度 | 侈
夸大 | 侈
邪行 | 侈
〔～漓〕沾湿或流滴，如“大汗～漓”；畅快，如“～漓尽致。” | 淋
浇 | 淋
过滤 | 淋
一种性病，病原体是淋病球菌。病人尿道红肿溃烂，尿有浓血。通称“淋病”；亦称“白浊”。 | 淋
水上的波纹 | 沦
沉没（），降落 | 沦
动植物体内像薄皮的组织 | 膜
〔～拜〕跪在地上高举双手虔诚地行礼。 | 膜
像膜的薄皮 | 膜
中国福建省的别称。 | 闽
禽兽，有时专指家养的禽兽 | 畜
养禽兽 | 畜
象声词。 | 唔
叹词。表示疑问。 | 唔
方言。我。 | 唔
方言。你。 | 唔
同“嗯” | 唔
太阳升起 | 旸
晴天。 | 旸
涂 | 抹
揩，擦 | 抹
除去，勾掉，不计在内 | 抹
轻微的痕迹 | 抹
把和好了的泥或灰涂上后弄平 | 抹
紧靠着绕过去 | 抹
用手指轻按，奏弦乐指法的一种。 | 抹
擦 | 抹
按着向下移动、除去 | 抹
古代乐曲名。 | 韶
美 | 韶
量词，指房屋 | 幢
古代原指支撑帐幕、伞盖、旌旗的木竿，后借指帐幕、伞盖、旌旗。 | 幢
〔～～〕形容影子摇晃，如“人影～～”。 | 幢
刻着佛号或经咒的石柱 | 幢
人或动物体内最大的消化腺，有合成与贮存养料、分泌胆汁、解毒等功能 | 肝
中医学指五脏之一 | 肝
植物生殖器官的一部分 | 蕊
草木丛生。 | 蕊
不好、坏、恶 | 歹
事物发展转向微弱 | 衰
等次，等级，等差 | 衰
同“缞”。 | 衰
罪过，过失 | 愆
耽误 | 愆
过 | 愆
机关、住所等另换地点 | 迁
变动，转变 | 迁
贬谪，放逐 | 迁
古代称调动官职，一般指升职 | 迁
同“铺”。 | 舖
不紧张 | 懈
同“逵”。 | 馗
根据事理推广发挥 | 演
依照程式练习 | 演
不断变化 | 演
把技艺当众表现出来 | 演
古同“剑”。 | 剣
没有，与“有”相对；不 | 无
依赖，仗着 | 恃
火把 | 炬
露出地面的树根 | 株
棵儿，指整个的植物体 | 株
量词，指植物 | 株
依靠，仗恃 | 怙
连接起来引水用的长竹管 | 笕
横安在屋檐上承接雨水的长竹管 | 笕
贝壳做的瓢 | 蠡
蠡县，地名，在河北省。 | 蠡
轻慢，亲近而不庄重 | 亵
旧指在家穿的便服，或贴身的内衣 | 亵
污秽，淫秽 | 亵
山高而陡 | 峻
高大 | 峻
严厉苛刻 | 峻
〔～水〕水名，在中国山东省。 | 泺
（泺） | 泺
同“泊”。 | 泺
姓。 | 郦
〔～县〕古地名，在今中国河南省南阳市西北。 | 郦
心思 | 意
心愿，愿望 | 意
人或事物流露的情态 | 意
料想，猜想 | 意
颜色，由物体发射、反射的光通过视觉而产生的印象 | 色
脸色，脸色表现出的神情、样子 | 色
情景，景象 | 色
种类 | 色
成色，品质，质量 | 色
妇女的容貌 | 色
指情欲 | 色
（—儿）义同“色”，用于一些口语词 | 色
古代指被役使的人 | 奚
文言疑问代词，相当于“胡”、“何” | 奚
姓。 | 奚
常绿乔木，茎高大，树皮灰色，小枝红褐色。木材供制器具，又可做建筑材料，亦称“冷杉”。 | 枞
〔～阳〕地名，在安徽省。 | 枞
（枞） | 枞
搅乱 | 扰
增添麻烦 | 扰
驯顺，安 | 扰
畜养 | 扰
把东西从甲地运到乙地 | 送
赠给 | 送
陪伴人到某一地点 | 送
丢掉 | 送
〔～民〕过去在中国广东、广西、福建一带的水上居民，多以船为家，从事渔业、运输业。 | 疍
为了便于上下，用砖石砌成的或就山势凿成的梯形的道 | 阶
等级，层次 | 阶
凭借 | 阶
由来 | 阶
途径 | 阶
中国古代国名（战国时代的“赵”；西晋结束，匈奴族、羯族先后在北方建立“赵国”，史称“前赵”、“后赵”） | 赵
姓。 | 赵
劈雷，霹雳 | 霆
震动 | 霆
由身体的毛孔排泄出来的液体 | 汗
出汗，使出汗 | 汗
〔可（）～〕见“可”。 | 汗
同“净”。 | 浄
〔～河〕水名，即中国北京市通县以下的北运河。 | 潞
〔～江〕水名，即中国云南省的怒江。 | 潞
粗心，不注意 | 忽
迅速，突然 | 忽
长度和重量单位（十忽为一丝，十丝为一毫） | 忽
地支的第十位，属鸡。 | 酉
用于计时 | 酉
姓。晋代有佟寿。见《晋书·慕容皝载记》。 | 佟
储存 | 贮
同“卐”。 | 卍
渡水的横木。 | 榷
专卖 | 榷
商讨 | 榷
抡，扔 | 甩
抛开，抛去 | 甩
虫类下卵 | 甩
画直角或方形的工具 | 矩
法则，规则 | 矩
液体移动 | 流
像水那样流动不定 | 流
传播 | 流
指江河的流水 | 流
像水流的东西 | 流
向坏的方面转变 | 流
旧时的刑罚，把犯人送到荒远的地方去 | 流
品类，等级 | 流
指不正派 | 流
拖延，搁置 | 宕
放荡，不受拘束 | 宕
一种金属元素，通常是银白色液体，俗称“水银”。 | 汞
拿，抓住 | 把
控制，掌握 | 把
看守 | 把
自行车、手推车等的手柄 | 把
可以用手拿的小捆 | 把
专权，一手独揽 | 把
从后托起小孩两腿使之大小便的动作 | 把
介词，义为拿，处置，致使 | 把
量词。 | 把
结盟 | 把
物体上便于手拿的部分 | 把
被人作为说笑资料的言行 | 把
用有高低抑扬的腔调念 | 诵
称述，述说 | 诵
诗歌 | 诵
怨谤。 | 诵
〔～～〕恭顺的样子。 | 俅
〔～人〕中国少数民族独龙族的旧称。 | 俅
［混沌］传说中指世界开辟前的状态。糊涂，不清楚。 | 沌
用于地名 | 沌
米脱壳而未舂的状态 | 糙
不细致，不光滑 | 糙
姑且，勉强，凑凑和和 | 聊
依赖，寄托 | 聊
略微 | 聊
闲谈 | 聊
耳鸣 | 聊
姓。 | 聊
水波纹 | 漪
捕野兽用的陷坑 | 阱
美，好 | 妙
奇巧，神奇 | 妙
青春年少 | 妙
〔～娥〕神话中住在月亮里的仙女。 | 嫦
打算 | 拟
初步设计编制或起草 | 拟
仿照 | 拟
火熄 | 灭
消失，丧失 | 灭
淹没 | 灭
丢 | 失
违背 | 失
找不着 | 失
没有掌握住 | 失
没有达到 | 失
错误 | 失
改变常态 | 失
妇女生孩子 | 娩
遮蔽风雨和阳光的东西，用竹篾、苇席、布等做成 | 篷
特指船帆 | 篷
同“坤”。 | 堃
助词，表疑问，用在一般直陈句尾 | 吗
助词，表示含蓄的语气，用在句中停顿处，点出话题 | 吗
什么 | 吗
〔～啡〕用鸦片制成的有机化合物。 | 吗
（吗） | 吗
单独，孤单 | 孑
〔～孓〕蚊的幼虫。通称“跟头虫”。 | 孑
古同“戟”，古代兵器名。 | 孑
用砖石砌成的生火做饭的设备 | 灶
指“灶君”（中国民间在锅灶附近供的神） | 灶
一种无毒的大蛇，体长可达六米，大多生活在近水的森林里，捕食小禽兽（亦称“蚺蛇”）。 | 蟒
〔蟅～〕见“蟅”。 | 蟒
捉 | 逮
到，及 | 逮
捉拿 | 逮
同“满”（日本汉字）。 | 満
迷信的人指将要应验的预言、预兆 | 谶
水入船中。 | 淦
河工称起伏很大的激浪。 | 淦
姓。 | 淦
错误 | 讹
敲诈，假借某种理由向人强迫索取财物或其他权利 | 讹
谣言 | 讹
感化，变化 | 讹
野火烧。 | 讹
衰落 | 凋
说大话，自吹 | 夸
用话奖励，赞扬 | 夸
奢侈 | 夸
古同“跨”，兼有。 | 夸
一种玉的花纹。 | 玢
火成岩的一种 | 玢
〔赛璐～〕玻璃纸的一种，无色透明，有光泽。 | 玢
〔～苡〕多年生草本植物，颖果卵形，灰白色，像珍珠，供食用、药用称“薏米”、“薏仁米”、“苡米”、“苡仁”。 | 薏
用砖石等砌成承架房顶或隔开内外的建筑物 | 墙
门屏 | 墙
古代出殡时张于棺材周围的帏帐。 | 墙
血液凝滞 | 瘀
才 | 乃
是，为 | 乃
竟 | 乃
于是，就 | 乃
你，你的 | 乃
做，弄，干，办 | 搞
在一定疆界内的地方 | 域
走 | 行
流通，传递 | 行
流动性的，临时性的 | 行
进行 | 行
实做，办 | 行
（旧读）足以表明品质的举止行动 | 行
可以 | 行
能干 | 行
将要 | 行
乐府和古诗的一种体裁。 | 行
姓。 | 行
行列，排 | 行
行业 | 行
某些营业性机构 | 行
兄弟、姊妹长幼的次第 | 行
量词，用于成行的东西 | 行
架在墙上或柱子上支撑房顶的横木，泛指水平方向的长条形承重构件 | 梁
桥 | 梁
器物、身体或其他物体上中间高起的部分 | 梁
中国战国时期国名，魏国于公元前年迁都大梁（今河南省开封市）后，改称“梁”。 | 梁
中国朝代名（南朝之一；五代之一）。 | 梁
姓。 | 梁
同“转”（日本汉字）。 | 転
同“转”（日本汉字）。 | 転
同“宝”。 | 寳
装刀、剑的套子 | 鞘
拴在鞭子末端的细皮条 | 鞘
〔～～〕缓慢流动，无止无休，如“清流～～。”形容孜孜不倦。 | 亹
山峡中两岸相对如门之处 | 亹
脑盖，亦指头 | 颅
醋。 | 醯
酰的旧称。 | 醯
合在一起 | 并
一齐，平排着 | 并
连词，表平列或进一层 | 并
用在否定词前，加强否定的语气，表不像预料的那样 | 并
中国山西省太原市的别称。 | 并
物质本身的纹路、层次，客观事物本身的次序 | 理
事物的规律，是非得失的标准，根据 | 理
自然科学，有时特指“物理学” | 理
按事物本身的规律或依据一定的标准对事物进行加工、处置 | 理
对别人的言行作出反应 | 理
古代指狱官、法官。 | 理
姓。 | 理
中国市制田地面积单位 | 顷
短时间 | 顷
刚才，不久以前 | 顷
停留 | 稽
考核 | 稽
计较 | 稽
至。 | 稽
姓。 | 稽
